Commercial District,Address,City,State,Zip Code,Coordinates for Mapping,Square Footage,Length of Vacancy,Ownership Type,Former Tenant,Police Neighborhood Regions,Leasing Activity,Recorded Owner,Police Response Districts,cambridge_neighborhoods,Leasing Contact,cambridge_cdd_zoning,Census Blocks 2010
Harvard Square,1208 Massachusetts Ave,Cambridge,Massachusetts,02138,POINT (-71.11541249999993 42.371856000000044),,6-10 months,Trust,Office Space,13,Unknown,"Cambridge Real Estate Company, LLC P.O. 400575 Cambridge, MA 02140",107,5,,230,932
Kendall Square,205 Broadway,Cambridge,Massachusetts,02139,POINT (-71.09294815999993 42.36616284400003),,6-10 months,Real Estate Investment Trust (REIT),Tatte,7,Leased pending occupancy,"BMR-Hampshire LLC, c/o Ryan LLC, P.O. Box 847, Carlsbad, CA 62018",70,1,,258,168
Porter Sq-Lower Massachusetts Ave.,1965 Massachusetts Avenue,Cambridge,Massachusetts,02140,POINT (-71.12035349999996 42.39023400000008),3504,2 years or more,Real Estate Investment Trust (REIT),New Space,6,Leased pending occupancy,"Urban Spaces, 1971 Mass Ave, LLC 111 First Street, Cambridge, MA 02141",95,13,"Conviser Realty, Adam and Jim Conviser (781) 320-0600",14,810
Central Square,20 Sidney Street,Cambridge,Massachusetts,02139,POINT (-71.09965799999998 42.361650000000054),2300,6-10 months,Real Estate Investment Trust (REIT),Unknown,11,Actively leasing,"MIT 238 Main Street, Suite 200 Cambridge, MA 02142",116,4,Contact 617-551-0307 (no food use),265,396
Central Square,599 Massachusetts Avenue,Cambridge,Massachusetts,02139,POINT (-71.10274949999996 42.36517800000007),2530,2 years or more,Trust,Payless Shoe,7,Leased pending occupancy,"3MJ Associates, Inc. 563 Massachusetts Ave., Cambridge, MA 02139",80,1,"Marianne McCarthy, 781-396-5400",264,381
East Cambridge,1 Canal Park,Cambridge,Massachusetts,02141,POINT (-71.07678449999997 42.36956100000003),,Less than 6 months,Foreign Limited Liability Company (LLC),Haute Coffee,4,Unknown,"One Canal Park Massachusetts, LLC C/O Intercontinental Realty Estate Investment, 1270 Soldiers Field Rd, Boston, MA 02135",65,8,"Bay State REIT, LLC, (617) 782-2600",226,14
Harvard Square,25 Brattle Street,Cambridge,Massachusetts,02138,POINT (-71.12091311999997 42.37335130800005),4000,2 years or more,Real Estate Investment Trust (REIT),Lululemon,12,Leased pending occupancy,"AP Brattle Square, LP c/o Asana Partners, LP, 1616 Camden Road, Suite 210, Charolette, NC 28203",103,12,"CBRE New England, (617) 912-6861",197,818
Fresh Pond-Alewife,176 Alewife Brook Parkway,Cambridge,Massachusetts,02138,POINT (-71.14157921499998 42.39071846400003),,6-10 months,Real Estate Investment Trust (REIT),Eastern Bank,1,Actively leasing,"The Fresh Pond Mall Limited Partnership, 545 Concord Ave, Cambridge, MA 02140",11,10,"Vast Capital Management, (617) 491-4431",249,858
Harvard Square,1280 Massachusetts Avenue,Cambridge,Massachusetts,02138,POINT (-71.11697849999996 42.37258500000007),3307,6-10 months,Real Estate Investment Trust (REIT),Qdoba,13,Unknown,"1280 Massachusetts Avenue Owner MA, LLC, c/o International Continental Real Estate Corp., 1270 Soldiers Field Rd., Boston, MA 02135",106,5,,197,583
Fresh Pond-Alewife,178 Alewife Brook Parkway,Cambridge,Massachusetts,02138,POINT (-71.14157921499998 42.39071846400003),2500,6-10 months,Real Estate Investment Trust (REIT),Sprint,1,Actively leasing,"The Fresh Pond Mall Limited Partnership, 545 Concord Ave, Cambridge, MA 02140",11,10,"Vast Capital Management, (617) 491-4431",249,858
Harvard Square,One Brattle Square,Cambridge,Massachusetts,02138,POINT (-71.12115344699998 42.37306103100008),2706,6-10 months,Real Estate Investment Trust (REIT),Chipotle,12,Leased pending occupancy,"WELLS REIT One Brattle Square, I, LLC, c/o Thompson Property Tax Services, P.O. Box 56607, Atlanta, GA 3034",103,12,"Atlantic Retail, (617) 239-3642",197,531
East Cambridge,20 Child Street,Cambridge,Massachusetts,02141,POINT (-71.07220376399994 42.371508867000045),4000,2 years or more,Real Estate Investment Trust (REIT),New Space,4,Leased pending occupancy,"PRII Twenty20 LLC c/o Prudential Real Estate Services, 7 Girala Farms, Madison, NJ 07940",51,8,"Dartmouth Company, Peter Considine, (617) 262-6620",251,927
East Cambridge,85 First Street,Cambridge,Massachusetts,02141,POINT (-71.07772049999994 42.368175000000065),2500,6-10 months,Real Estate Investment Trust (REIT),New Space,4,Actively leasing,"12 Jayne Road LLC, 30 Windsor Road, Needham, MA 02492",57,8,,112,152
Harvard Square,33 Dunster Street,Cambridge,Massachusetts,02138,POINT (-71.11961549999995 42.37254000000007),,6-10 months,Trust,John Harvard's,13,Leased pending occupancy,"Trinity Realty Limited Partnership, P.O. Box 380212, Cambridge, MA 02138",106,5,,197,895
North Massachusetts Ave.,2401 Massachusetts Avenue,Cambridge,Massachusetts,02140,POINT (-71.12970656999994 42.39696514000008),1300,1-2 years,Real Estate Investment Trust (REIT),Fiorella's Express,6,Leased pending occupancy,"Trolley Rental LLC c/o Winn Companies, 6 Faneuil Hall Marketplace, Boston, MA 02109-6115",91,13,"Sales Agent: Boston Restaurant Group, (978) 887-9895",256,1073
Smaller Districts,156 Rindge Avenue,Cambridge,Massachusetts,02140,POINT (-71.13083849999998 42.39325800000006),,6-10 months,Individual,NOCA Provisions,6,Actively leasing,"Susan H. Sullivan, 29 Banks St., Somerville, MA 02144",93,13,"Robert Harris, info@nocaprovisions.com",215,1071
