Business Name,Business Open or Closed?,Delivery/Take Out Only/Online Sales,Business Address,Business Phone Number,Business Website,Business Facebook Page,Business Twitter Page,Business Instagram Page,Last Modified Date/Time,Address,Latitude,Longitude,Accuracy Score,Accuracy Type,Zip,Source
1369 Coffee House,Open,"Delivery
Online Sales",757 Mass Ave,617-576-4600,https://www.1369coffeehouse.com/,https://www.facebook.com/1369Coffeehouse/,https://twitter.com/1369coffeehouse?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://www.instagram.com/1369coffeehouse/?hl=en,2020-03-23T11:51:50Z,757 Massachusetts Ave,42.366545,-71.105308,1,rooftop,02139,City of Cambridge
1369 Coffee House,Open,"Delivery
Online Sales",1369 Cambridge Street,617-576-1369,https://www.1369coffeehouse.com/,https://www.facebook.com/1369Coffeehouse/,https://twitter.com/1369coffeehouse,https://www.instagram.com/1369coffeehouse/?hl=en,2020-03-23T11:51:50Z,1369 Cambridge Street,42.373779999999996,-71.10039,1,rooftop,02139,City of Cambridge
2 4-1 Optical,Closed,NA,128 Massachusetts Ave,(617) 441-0006,NA,https://www.facebook.com/241optical/,NA,NA,2020-03-24T08:00:58Z,128 Massachusetts Ave,42.360059,-71.094815,1,range_interpolation,02139,TIGER/Line® dataset from the US Census Bureau
5th Street Laundromat,Open,NA,58 5th Street,(617) 497-6900,NA,NA,NA,NA,2020-03-22T08:45:32Z,58 5th Street,42.371225,-71.083089,1,rooftop,02141,City of Cambridge
7-Eleven,Open,NA,All locations are open,NA,https://www.7-eleven.com/,NA,NA,NA,2020-03-22T16:15:36Z,NA,NA,NA,NA,NA,NA,NA
730 Tavern,Closed,NA,730 Massachusetts Ave,NA,https://730tavern.com/,https://www.facebook.com/730tavern/,NA,https://www.instagram.com/p/B9uqJpAgWJz/,2020-03-22T11:02:10Z,730 Massachusetts Ave,42.365997,-71.105025,1,rooftop,02139,City of Cambridge
9Zaab Thai Street Food,Open,"Delivery
Take Out",569 Cambridge St,(617) 868-6644,http://www.9zaab.com/,https://www.facebook.com/9Zaab/,NA,https://www.instagram.com/9Zaab/,2020-04-19T11:08:47Z,569 Cambridge St,42.371871,-71.085702,1,rooftop,02141,City of Cambridge
A&E Citgo Service Station,Open,NA,199 Concord Ave,(617) 876-3388,NA,NA,NA,NA,2020-03-22T09:56:16Z,199 Concord Ave,42.382732,-71.131038,1,rooftop,02138,City of Cambridge
Abbey,Open,Take Out,1755 Mass. Ave.,NA,http://abbeyrestaurant.com/cambridge/,https://www.facebook.com/abbey2cambridge/,https://twitter.com/Abbey2Cambridge,https://www.instagram.com/abbey2cambridge/,2020-04-09T11:09:22Z,1755 Massachusetts Ave,42.385111,-71.119183,1,rooftop,02140,City of Cambridge
ABC Pizza House,Open,"Delivery
Take Out",744 Massachusetts Ave,(617) 876-4607,NA,https://www.facebook.com/ABC-Pizza-House-135319099845881/,NA,NA,2020-03-23T14:58:35Z,744 Massachusetts Ave,42.366104,-71.105212,1,rooftop,02139,City of Cambridge
Abigail's,Closed,NA,291 Third St,617-945-9086,https://www.abigailskendall.com/,https://www.facebook.com/abigailskendall/,https://twitter.com/abigailskendall,NA,2020-04-23T18:03:14Z,291 Third St,42.364626,-71.083264,1,rooftop,02141,City of Cambridge
Abodeon,Closed,Online Sales,1731 Mass. Ave.,NA,http://www.abodeon.com/,https://www.facebook.com/abodeon/,https://twitter.com/abodeon/,NA,2020-03-23T11:55:06Z,1731 Massachusetts Ave,42.384191,-71.119283,1,rooftop,02138,City of Cambridge
Abroad Modern,Open,Online Sales,260 Concord Ave,NA,https://www.abroadmodern.com/,https://www.facebook.com/AbroadModern/,NA,https://www.instagram.com/abroadmodern/,2020-03-25T07:57:11Z,260 Concord Ave,42.383266,-71.132981,1,rooftop,02138,City of Cambridge
Aceituna Grill,Open,"Delivery
Take Out",605 West Kendall St,617-252-0707,http://aceitunagrill.com/,https://www.facebook.com/aceitunagrill/,NA,https://www.instagram.com/aceitunagrill/,2020-03-23T11:55:06Z,605 West Kendall St,42.364399,-71.081972,1,rooftop,02141,City of Cambridge
Advance Tire Company,Open,NA,185 Broadway,617-864-8989,https://www.advancetire.net/,https://www.facebook.com/www.advancetire.net,NA,NA,2020-03-21T18:29:58Z,185 Broadway,42.365926,-71.091892,1,rooftop,02139,City of Cambridge
Aestheticare Day Spa,Closed,NA,310 Cambridge St,(617) 661- 1113,https://www.aestheticaredayspa.com/,https://www.facebook.com/Aestheticare-Day-Spa-771184209580251/,NA,NA,2020-03-22T08:56:38Z,310 Cambridge St,42.371091,-71.081088,1,rooftop,02141,City of Cambridge
African Gift Items,Closed,Online Sales,1815 Mass. Ave.,(781) 640-3389,https://africangiftitems.com/,https://www.facebook.com/africangiftitems/,NA,https://www.instagram.com/africangiftitems/?hl=en,2020-03-23T11:55:06Z,1815 Massachusetts Ave,42.387136,-71.118975,1,rooftop,02140,City of Cambridge
Al's Café,Closed,NA,600 Technology Square,NA,http://www.alscafes.com/index.php,NA,NA,NA,2020-03-24T08:00:58Z,600 Technology Square,42.363078,-71.093063,1,rooftop,02139,City of Cambridge
Aladdin Auto Service,Open,NA,162 Alewife Brook Pkwy,(617) 547-8000,NA,NA,NA,NA,2020-03-23T16:17:21Z,162 Alewife Brook Pkwy,42.391131,-71.137457,1,rooftop,02138,City of Cambridge
Alan Russo Hair Design,Closed,NA,2516 Mass. Ave,617) 999-2366,NA,NA,NA,NA,2020-03-22T17:48:07Z,2516 Massachusetts Ave,42.399443,-71.133127,1,rooftop,02140,City of Cambridge
Albert's Market,Open,NA,638 Cambridge St,(617) 491-0288,NA,https://www.facebook.com/AlbertsMarket,NA,https://www.instagram.com/albertsmarket/,2020-03-22T08:56:38Z,638 Cambridge St,42.371851,-71.087014,1,rooftop,02141,City of Cambridge
Albertine Press,Closed,Online Sales,1309 Cambridge Street,617-945-5519,https://albertinepress.com/,https://www.facebook.com/albertinepress,NA,https://www.instagram.com/albertinepress/,2020-03-23T11:55:06Z,1309 Cambridge Street,42.373658,-71.099508,1,rooftop,02139,City of Cambridge
Alden and Harlow,Closed,Online Sales,40 Brattle St,NA,http://www.aldenharlow.com/,https://www.facebook.com/AldenAndHarlow,https://twitter.com/AldenHarlow,https://www.instagram.com/aldenharlow/,2020-03-23T14:39:21Z,40 Brattle St,42.373628,-71.121362,1,rooftop,02138,City of Cambridge
Aleppo Palace,Open,"Delivery
Take Out",25 Central Square,(617) 945-7449,NA,NA,NA,NA,2020-04-04T09:34:42Z,25 Central Square,42.365398,-71.104577,1,rooftop,02139,City of Cambridge
Alfred Hair Salon,Closed,NA,8 Eliot St.,NA,http://www.alfredharvardsquare.com/,NA,NA,NA,2020-03-23T16:28:45Z,8 Eliot St.,42.372581,-71.12151,1,rooftop,02138,City of Cambridge
Alfredo's Italian Kitchen,Open,"Delivery
Take Out",691 Cambridge St,617-491-8292,http://www.alfredositaliankitchen.com/ak/home/,NA,NA,NA,2020-03-23T11:55:06Z,691 Cambridge St,42.372183,-71.088096,1,rooftop,02141,City of Cambridge
Ali Tailoring and Cleaning,Open,NA,164 Hampshire Street,617-354-7455,NA,NA,NA,NA,2020-03-21T21:01:51Z,164 Hampshire Street,42.371801,-71.098652,1,rooftop,02139,City of Cambridge
Alive and Kicking Lobsters,Open,"Delivery
Take Out",273 Putnam Ave,617-876-0451,NA,NA,NA,NA,2020-03-30T17:33:08Z,273 Putnam Ave,42.362533,-71.113995,1,rooftop,02139,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
All Star Pizza Bar,Open,"Delivery
Take Out",1238 Cambridge Street,617-547-0836,https://allstarpizzabar.com/,NA,NA,https://www.instagram.com/allstarpizzabar/?hl=en,2020-03-23T11:55:06Z,1238 Cambridge Street,42.373228,-71.098045,1,rooftop,02139,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
All Star Sandwich Bar,Closed,NA,1245 Cambridge Street,NA,https://allstarsandwichbar.com/,NA,NA,NA,2020-03-21T20:49:03Z,1245 Cambridge Street,42.373482,-71.09819,1,rooftop,02139,City of Cambridge
Amador Bilingual Voiceovers,Open,NA,North Cambridge,NA,https://amadorbilingualvoiceovers.com/,NA,NA,NA,2020-04-21T07:57:40Z,North Cambridge,42.380442,-71.132947,1,place,02138,TIGER/Line® dataset from the US Census Bureau
