id,"Business Address",Address,City,State,Zip,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
1,"757 Mass Ave","757 Massachusetts Ave",Cambridge,MA,,42.366545,-71.105308,1,rooftop,757,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
2,"1369 Cambridge Street","1369 Cambridge Street",Cambridge,MA,,42.37378,-71.10039,1,rooftop,1369,"Cambridge St",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
3,"128 Massachusetts Ave","128 Massachusetts Ave",Cambridge,MA,,42.360059,-71.094815,1,range_interpolation,128,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02139,US,"TIGER/Line® dataset from the US Census Bureau"
4,"58 5th Street","58 5th Street",Cambridge,MA,,42.371225,-71.083089,1,rooftop,58,"5th St",,,Cambridge,MA,"Middlesex County",02141,US,"City of Cambridge"
6,"730 Massachusetts Ave","730 Massachusetts Ave",Cambridge,MA,,42.365997,-71.105025,1,rooftop,730,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
7,"569 Cambridge St","569 Cambridge St",Cambridge,MA,,42.371871,-71.085702,1,rooftop,569,"Cambridge St",,,Cambridge,MA,"Middlesex County",02141,US,"City of Cambridge"
8,"199 Concord Ave","199 Concord Ave",Cambridge,MA,,42.382732,-71.131038,1,rooftop,199,"Concord Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
9,"1755 Mass. Ave.","1755 Massachusetts Ave",Cambridge,MA,,42.385111,-71.119183,1,rooftop,1755,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02140,US,"City of Cambridge"
10,"744 Massachusetts Ave","744 Massachusetts Ave",Cambridge,MA,,42.366104,-71.105212,1,rooftop,744,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
11,"291 Third St","291 Third St",Cambridge,MA,,42.364626,-71.083264,1,rooftop,291,"3rd St",,,Cambridge,MA,"Middlesex County",02141,US,"City of Cambridge"
12,"1731 Mass. Ave.","1731 Massachusetts Ave",Cambridge,MA,,42.384191,-71.119283,1,rooftop,1731,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
13,"260 Concord Ave","260 Concord Ave",Cambridge,MA,,42.383266,-71.132981,1,rooftop,260,"Concord Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
14,"605 West Kendall St","605 West Kendall St",Cambridge,MA,,42.364399,-71.081972,1,rooftop,605,"W Kendall St",,,Cambridge,MA,"Middlesex County",02141,US,"City of Cambridge"
15,"185 Broadway","185 Broadway",Cambridge,MA,,42.365926,-71.091892,1,rooftop,185,Broadway,,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
16,"310 Cambridge St","310 Cambridge St",Cambridge,MA,,42.371091,-71.081088,1,rooftop,310,"Cambridge St",,,Cambridge,MA,"Middlesex County",02141,US,"City of Cambridge"
17,"1815 Mass. Ave.","1815 Massachusetts Ave",Cambridge,MA,,42.387136,-71.118975,1,rooftop,1815,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02140,US,"City of Cambridge"
18,"600 Technology Square","600 Technology Square",Cambridge,MA,,42.363078,-71.093063,1,rooftop,600,"Technology Sq",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
19,"162 Alewife Brook Pkwy","162 Alewife Brook Pkwy",Cambridge,MA,,42.391131,-71.137457,1,rooftop,162,"Alewife Brook Pkwy",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
20,"2516 Mass. Ave","2516 Massachusetts Ave",Cambridge,MA,,42.399443,-71.133127,1,rooftop,2516,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02140,US,"City of Cambridge"
21,"638 Cambridge St","638 Cambridge St",Cambridge,MA,,42.371851,-71.087014,1,rooftop,638,"Cambridge St",,,Cambridge,MA,"Middlesex County",02141,US,"City of Cambridge"
22,"1309 Cambridge Street","1309 Cambridge Street",Cambridge,MA,,42.373658,-71.099508,1,rooftop,1309,"Cambridge St",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
23,"40 Brattle St","40 Brattle St",Cambridge,MA,,42.373628,-71.121362,1,rooftop,40,"Brattle St",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
24,"25 Central Square","25 Central Square",Cambridge,MA,,42.365398,-71.104577,1,rooftop,25,"Central Sq",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
25,"8 Eliot St.","8 Eliot St.",Cambridge,MA,,42.372581,-71.12151,1,rooftop,8,"Eliot St",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
26,"691 Cambridge St","691 Cambridge St",Cambridge,MA,,42.372183,-71.088096,1,rooftop,691,"Cambridge St",,,Cambridge,MA,"Middlesex County",02141,US,"City of Cambridge"
27,"164 Hampshire Street","164 Hampshire Street",Cambridge,MA,,42.371801,-71.098652,1,rooftop,164,"Hampshire St",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
28,"273 Putnam Ave","273 Putnam Ave",Cambridge,MA,,42.362533,-71.113995,1,rooftop,273,"Putnam Ave",,,Cambridge,MA,"Middlesex County",02139,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
29,"1238 Cambridge Street","1238 Cambridge Street",Cambridge,MA,,42.373228,-71.098045,1,rooftop,1238,"Cambridge St",,,Cambridge,MA,"Middlesex County",02139,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
30,"1245 Cambridge Street","1245 Cambridge Street",Cambridge,MA,,42.373482,-71.09819,1,rooftop,1245,"Cambridge St",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
31,"North Cambridge","North Cambridge",Cambridge,MA,,42.380442,-71.132947,1,place,,,,,Cambridge,MA,"Middlesex County",02138,US,"TIGER/Line® dataset from the US Census Bureau"
32,"111 Harvard St","111 Harvard St",Cambridge,MA,,42.36499,-71.0927,1,rooftop,111,"Harvard St",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
33,"50 JFK St.","50 JFK St.",Cambridge,MA,,42.372051,-71.120456,1,rooftop,50,"Jfk St",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
34,"286 Franklin St","286 Franklin St",Cambridge,MA,,42.364764,-71.105745,1,rooftop,286,"Franklin St",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
35,"22 Holyoke St.","22 Holyoke St.",Cambridge,MA,,42.37227,-71.118333,1,rooftop,22,"Holyoke St",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
36,"1206 Massaschusetts Ave","1206 Massachusetts Ave",Cambridge,MA,,42.380442,-71.132947,0.33,place,,,,,Cambridge,MA,"Middlesex County",02138,US,"TIGER/Line® dataset from the US Census Bureau"
37,"2030 Mass Ave.","2030 Massachusetts Ave",Cambridge,MA,,42.390694,-71.122124,1,rooftop,2030,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02140,US,"City of Cambridge"
38,"36 JFK St.","36 JFK St.",Cambridge,MA,,42.372747,-71.119871,1,rooftop,36,"Jfk St",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
39,"44 Brattle St","44 Brattle St",Cambridge,MA,,42.373915,-71.121581,1,rooftop,44,"Brattle St",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
40,"1 Porter Square","1 Porter Square",Cambridge,MA,,42.388587,-71.118688,1,rooftop,1,"Porter Sq",,,Cambridge,MA,"Middlesex County",02140,US,"City of Cambridge"
42,"872 Mass. Ave.","872 Massachusetts Ave",Cambridge,MA,,42.367629,-71.107587,1,rooftop,872,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
43,"168 Alewife Brook Pkwy","168 Alewife Brook Pkwy",Cambridge,MA,,42.39134,-71.138422,1,rooftop,168,"Alewife Brook Pkwy",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
44,"345 Cambridge St","345 Cambridge St",Cambridge,MA,,42.371375,-71.081793,1,rooftop,345,"Cambridge St",,,Cambridge,MA,"Middlesex County",02141,US,"City of Cambridge"
45,"500 Technology Square","500 Technology Square",Cambridge,MA,,42.363465,-71.092452,1,rooftop,500,"Technology Sq",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
46,"12B Eliot St.","12B Eliot St.",Cambridge,MA,,42.372361,-71.121618,0.9,rooftop,12,"Eliot St",Apt,B,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
47,"163 Huron Ave","163 Huron Ave",Cambridge,MA,,42.382327,-71.131366,1,rooftop,163,"Huron Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
48,"864 Massachusetts Ave","864 Massachusetts Ave",Cambridge,MA,,42.367532,-71.107392,1,rooftop,864,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
49,"1134 Massachusetts Ave","1134 Massachusetts Ave",Cambridge,MA,,42.370897,-71.114215,1,rooftop,1134,"Massachusetts Ave",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
50,"91 Hampshire St.","91 Hampshire St.",Cambridge,MA,,42.368962,-71.094832,1,rooftop,91,"Hampshire St",,,Cambridge,MA,"Middlesex County",02139,US,"City of Cambridge"
51,"40 Edwin Land Blvd","40 Edwin Land Blvd",Cambridge,MA,,42.380442,-71.132947,0.33,place,,,,,Cambridge,MA,"Middlesex County",02138,US,"TIGER/Line® dataset from the US Census Bureau"
52,"151 Alewife Brook Pkwy","151 Alewife Brook Pkwy",Cambridge,MA,,42.393633,-71.141173,1,rooftop,151,"Alewife Brook Pkwy",,,Cambridge,MA,"Middlesex County",02140,US,"City of Cambridge"
53,"125 Fawcett St","125 Fawcett St",Cambridge,MA,,42.392746,-71.147459,1,rooftop,125,"Fawcett St",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
54,"36 JFK St","36 JFK St",Cambridge,MA,,42.372747,-71.119871,1,rooftop,36,"Jfk St",,,Cambridge,MA,"Middlesex County",02138,US,"City of Cambridge"
